Ball,Score,Outcome,Innings
37.3,5--105,M Cranmer to J Carder : 3 runs,1st Innings - Port Adelaide
37.2,5--102,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
37.1,5--102,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
36.6,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
36.5,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
36.4,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
36.3,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
36.2,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
36.1,5--102,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
35.6,5--102,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
35.5,5--102,M Cranmer to J Carder : 2 runs,1st Innings - Port Adelaide
35.4,5--100,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
35.3,5--100,M Cranmer to J Carder : 2 runs,1st Innings - Port Adelaide
35.2,5--98,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
35.1,5--98,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
34.6,5--97,J Size to J Carder : No Run,1st Innings - Port Adelaide
34.5,5--97,J Size to J Carder : No Run,1st Innings - Port Adelaide
34.4,5--97,J Size to J Carder : No Run,1st Innings - Port Adelaide
34.3,5--97,J Size to J Carder : 2 runs,1st Innings - Port Adelaide
34.2,5--95,J Size to J Carder : No Run,1st Innings - Port Adelaide
34.1,5--95,J Size to J Carder : No Run,1st Innings - Port Adelaide
33.6,5--95,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
33.5,5--95,M Cranmer to J Carder : 1 run,1st Innings - Port Adelaide
33.4,5--94,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
33.3,5--94,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
33.2,5--94,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
33.1,5--93,M Cranmer to J Carder : 1 run,1st Innings - Port Adelaide
32.6,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
32.5,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
32.4,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
32.3,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
32.2,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
32.1,5--92,D King to Z McCabe : No Run,1st Innings - Port Adelaide
31.6,5--92,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
31.5,5--92,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
31.4,5--91,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
31.3,5--91,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
31.2,5--91,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
31.1,5--91,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
30.7,5--91,T Robins to J Carder : No Run,1st Innings - Port Adelaide
30.6,5--91,T Robins to J Carder : No Run,1st Innings - Port Adelaide
30.5,5--91,T Robins to C Valente : C Valente dismissed,1st Innings - Port Adelaide
30.4,4--91,T Robins to C Valente : No Run,1st Innings - Port Adelaide
30.3,4--91,T Robins to C Valente : 2 runs,1st Innings - Port Adelaide
30.2,4--89,T Robins to C Valente : 1nb,1st Innings - Port Adelaide
30.1,4--88,T Robins to J Kann : J Kann dismissed,1st Innings - Port Adelaide
29.6,3--88,D King to Z McCabe : 4 runs,1st Innings - Port Adelaide
29.5,3--84,D King to Z McCabe : No Run,1st Innings - Port Adelaide
29.4,3--84,D King to Z McCabe : No Run,1st Innings - Port Adelaide
29.3,3--84,D King to Z McCabe : No Run,1st Innings - Port Adelaide
29.2,3--84,D King to Z McCabe : No Run,1st Innings - Port Adelaide
